GB00BF5SDZ96;0.01;GBP;1409670000;1411657200
CZ0009093209;18.0;CZK;1414076400;1416927600
LU0275164910;1.1;EUR;1413385200;1414508400
NL0009604859;0.22;EUR;1402930800;1403708400
CZ0005112300;40.0;CZK;1404140400;1406818800
CS0008418869;880.0;CZK;1397574000;1401030000
AT0000908504;1.3;EUR;1402412400;1402844400
AT0000652011;0.21;EUR;1401030000;1401202800
CZ0008019106;230.0;CZK;1398092400;1401634800
LU0275164910;1.05;EUR;1381849200;1382972400
CZ0005112300;40.0;CZK;1371740400;1375282800
NL0009604859;0.67;EUR;1370530800;1372172400
AT0000908504;1.2;EUR;1368370800;1368370800
CS0008418869;900.0;CZK;1366124400;1369580400
AT0000652011;0.4;EUR;1369148400;1369321200
CZ0009093209;30.0;CZK;1381330800;1384095600
CZ0008019106;230.0;CZK;1365951600;1369580400
CZ0009093209;13.0;CZK;1352646000;1355410800
GB00B42CTW68;0.06;EUR;1346770800;1347980400
LU0275164910;1.05;EUR;1350399600;1351522800
CZ0008019106;160.0;CZK;1334588400;1338130800
NL0009604859;0.23;EUR;1338908400;1340550000
CZ0005112300;45.0;CZK;1340809200;1343746800
AT0000908504;1.1;EUR;1336921200;1336921200
CS0008418869;920.0;CZK;1334674800;1337698800
CZ0009093209;27.0;CZK;1347202800;1349794800
GB00B42CTW68;0.07;EUR;1332860400;1335884400
GB00B42CTW68;0.16;EUR;1314716400;1317308400
LU0275164910;1.0;EUR;1318863600;1319641200
AT0000908504;1.0;EUR;1305471600;1305471600
NL0009604859;0.3;EUR;1307286000;1308841200
CZ0005112300;50.0;CZK;1307026800;1312124400
CS0008418869;1260.0;CZK;1303225200;1306076400
AT0000652011;0.7;EUR;1305558000;1305730800
GB00B42CTW68;0.22;EUR;1299596400;1302793200
CZ0008019106;270.0;CZK;1302534000;1306076400
CZ0009093209;40.0;CZK;1315148400;1317826800
GB00B42CTW68;0.21;EUR;1284476400;1287673200
AT0000908504;0.9;EUR;1278255600;1278255600
CS0008418869;780.0;CZK;1272380400;1274626800
LU0275164910;0.95;EUR;1287500400;1288278000
AT0000652011;0.65;EUR;1274022000;1274194800
CZ0009093209;40.0;CZK;1283698800;1286290800
CZ0005112300;53.0;CZK;1277218800;1280674800
CZ0008019106;170.0;CZK;1271689200;1275231600
GB00B42CTW68;0.18;EUR;;1242918000
AT0000908504;1.1;EUR;;1241362800
CS0008418869;560.0;CZK;1240153200;1243350000
LU0275164910;0.9;EUR;;1254150000
AT0000652011;0.65;EUR;;1242658800
CZ0009093209;50.0;CZK;;1254841200
CZ0005112300;50.0;CZK;;1249225200
CZ0008019106;180.0;CZK;;1246201200
GB00B42CTW68;0.28;EUR;;1224687600
AT0000908504;1.1;EUR;;1209308400
LU0275164910;0.85;EUR;;1222700400
AT0000652011;0.75;EUR;;1210604400
CS0008418869;880.0;CZK;;1211727600
CZ0009091500;17.65;CZK;;1219935600
CZ0009093209;50.0;CZK;;1223391600
CZ0005112300;40.0;CZK;;1217775600
CZ0008019106;180.0;CZK;;1214751600
